condition,phase,recorded_epoch,trained,old_accuracy,new_accuracy
sequential,1,1,False,15.449515907390154,12.476410148878172
sequential,1,2,True,96.91562933545885,0.0
sequential,1,3,True,98.06362380295538,0.0
sequential,1,4,True,98.04979254431085,0.0
sequential,1,5,True,98.53388659686964,0.0
sequential,1,6,True,98.76901798063625,0.0
sequential,1,7,True,97.84232366464279,0.0
sequential,1,8,True,98.76901799382676,0.0
sequential,1,9,True,98.75518673518222,0.0
sequential,1,10,True,98.58921161825727,0.0
sequential,1,11,True,98.90733058027212,0.0
sequential,1,12,True,99.0456431667175,0.0
sequential,1,13,True,98.28492394126798,0.0
sequential,1,14,True,99.0871369426511,0.0
sequential,1,15,True,99.07330568400656,0.0
sequential,1,16,True,99.05947441217151,0.0
sequential,1,17,True,99.15629322268327,0.0
sequential,1,18,True,99.1286307185847,0.0
sequential,1,19,True,99.14246197722925,0.0
sequential,1,20,True,99.15629323587379,0.0
sequential,2,1,False,99.15629322268326,0.0
sequential,2,2,True,22.01936376210235,97.86118683162088
sequential,2,3,True,21.728907330567083,98.17571817991193
sequential,2,4,True,17.593360995850624,98.74187460683582
sequential,2,5,True,15.062240663900415,98.78381211994129
sequential,2,6,True,12.89073305670816,99.01446844202138
sequential,2,7,True,11.230982019363761,99.03543719857413
sequential,2,8,True,10.442600276625173,98.99349968546865
sequential,2,9,True,9.764868603042878,99.14028098133781
sequential,2,10,True,8.962655601659751,99.11931222478508
sequential,2,11,True,8.547717842323651,99.18221849444328
sequential,2,12,True,7.980636237897649,99.22415600754876
sequential,2,13,True,2.185338865836791,97.295030404697
sequential,2,14,True,0.9128630705394191,98.82574963304675
sequential,2,15,True,1.0650069156293223,99.3080310337597
sequential,2,16,True,1.0235131396957122,99.26609352065422
sequential,2,17,True,0.9128630705394191,99.24512476410149
sequential,2,18,True,0.8022130013831259,99.3080310337597
sequential,2,19,True,0.719225449515906,99.22415600754876
sequential,2,20,True,0.7607192254495159,99.24512476410149
interleaved,1,1,False,15.449515907390154,12.476410148878172
interleaved,1,2,True,96.91562933545885,0.0
interleaved,1,3,True,98.06362380295538,0.0
interleaved,1,4,True,98.04979254431085,0.0
interleaved,1,5,True,98.53388659686964,0.0
interleaved,1,6,True,98.76901798063625,0.0
interleaved,1,7,True,97.84232366464279,0.0
interleaved,1,8,True,98.76901799382676,0.0
interleaved,1,9,True,98.75518673518222,0.0
interleaved,1,10,True,98.58921161825727,0.0
interleaved,1,11,True,98.90733058027212,0.0
interleaved,1,12,True,99.0456431667175,0.0
interleaved,1,13,True,98.28492394126798,0.0
interleaved,1,14,True,99.0871369426511,0.0
interleaved,1,15,True,99.07330568400656,0.0
interleaved,1,16,True,99.05947441217151,0.0
interleaved,1,17,True,99.15629322268327,0.0
interleaved,1,18,True,99.1286307185847,0.0
interleaved,1,19,True,99.14246197722925,0.0
interleaved,1,20,True,99.15629323587379,0.0
interleaved,2,1,False,99.15629322268326,0.0
interleaved,2,2,True,96.77731673582296,96.12078003774376
interleaved,2,3,True,98.04979253112033,97.0014678129587
interleaved,2,4,True,97.28907330567081,98.28056196267562
interleaved,2,5,True,97.88381742738589,97.67246802264626
interleaved,2,6,True,97.52420470262794,97.60956175298804
interleaved,2,7,True,97.62102351313969,98.09184315370099
interleaved,2,8,True,98.22959889349931,97.81924931851542
interleaved,2,9,True,98.0774550484094,95.7433424197945
interleaved,2,10,True,97.9253112033195,98.53218704130845
interleaved,2,11,True,97.49654218533887,97.5256867267771
interleaved,2,12,True,97.80082987551867,98.25959320612287
interleaved,2,13,True,98.09128630705395,98.23862444957014
interleaved,2,14,True,97.93914246196404,98.09184315370099
interleaved,2,15,True,97.93914246196404,98.15474942335919
interleaved,2,16,True,98.28492392807746,97.54665548332984
interleaved,2,17,True,98.31258644536653,98.23862444957014
interleaved,2,18,True,98.0359612724758,97.295030404697
interleaved,2,19,True,98.22959889349931,97.63053050954079
interleaved,2,20,True,97.71784232365145,97.56762423988258
