rule,checkpoint,probe_split,layer,snr,num_updates,num_coordinates,finite_coordinate_fraction,cosine_mean,cosine_std,cosine_sem,cosine_valid_batches,cosine_total_batches,mean_direction_norm,zero_or_invalid_cosine_batches,condition,architecture
backprop,initial,old_0_5,hidden_weight,1.332662975077337,8,784000,1.0,0.9999999999999503,6.456630428094879e-14,2.2827635796606452e-14,8,8,1.0026073455810547,0,sequential,784-1000-10
backprop,initial,old_0_5,output_weight,12.492588848183338,8,10000,1.0,0.9999999999999951,1.5560106275163912e-15,5.501328331575877e-16,8,8,5.2490867376327515,0,sequential,784-1000-10
backprop,initial,new_6_9,hidden_weight,2.3928446650991755,8,784000,1.0,0.9999999999999329,4.9234980248626694e-14,1.7407194202694833e-14,8,8,1.1928640455007553,0,sequential,784-1000-10
backprop,initial,new_6_9,output_weight,19.21648818343095,8,10000,1.0,0.9999999999999987,1.2074700801556025e-15,4.269051408789453e-16,8,8,6.9603723883628845,0,sequential,784-1000-10
backprop,phase1_end,old_0_5,hidden_weight,0.2431803780394591,8,784000,1.0,0.9999999999999551,4.8324662830037844e-14,1.7085348392836626e-14,8,8,0.0032917325704318046,0,sequential,784-1000-10
backprop,phase1_end,old_0_5,output_weight,0.15992013382057085,8,10000,1.0,1.0,0.0,0.0,8,8,0.0046841910144053145,0,sequential,784-1000-10
backprop,phase1_end,new_6_9,hidden_weight,0.9951630092145567,8,784000,1.0,0.9999999999999705,6.177553527344193e-14,2.1840949951639773e-14,8,8,2.232481360435486,0,sequential,784-1000-10
backprop,phase1_end,new_6_9,output_weight,1.760046489066749,8,10000,1.0,0.999999999999999,9.60565210212719e-16,3.396110869566475e-16,8,8,9.971762776374817,0,sequential,784-1000-10
backprop,phase2_epoch_1,old_0_5,hidden_weight,0.2431803780394591,8,784000,1.0,0.9999999999999551,4.8324662830037844e-14,1.7085348392836626e-14,8,8,0.0032917325704318046,0,sequential,784-1000-10
backprop,phase2_epoch_1,old_0_5,output_weight,0.15992013382057085,8,10000,1.0,1.0,0.0,0.0,8,8,0.0046841910144053145,0,sequential,784-1000-10
backprop,phase2_epoch_1,new_6_9,hidden_weight,0.9951630092145567,8,784000,1.0,0.9999999999999705,6.177553527344193e-14,2.1840949951639773e-14,8,8,2.232481360435486,0,sequential,784-1000-10
backprop,phase2_epoch_1,new_6_9,output_weight,1.760046489066749,8,10000,1.0,0.999999999999999,9.60565210212719e-16,3.396110869566475e-16,8,8,9.971762776374817,0,sequential,784-1000-10
backprop,phase2_epoch_5,old_0_5,hidden_weight,0.9367564930085235,8,784000,1.0,0.9999999999999152,7.328273345930247e-14,2.5909358886479538e-14,8,8,2.5881832242012024,0,sequential,784-1000-10
backprop,phase2_epoch_5,old_0_5,output_weight,1.6489603418096943,8,10000,1.0,0.9999999999999996,4.002966042486721e-16,1.415262216750919e-16,8,8,8.554932236671448,0,sequential,784-1000-10
backprop,phase2_epoch_5,new_6_9,hidden_weight,0.3410227754104524,8,784000,1.0,0.9999999999999637,7.707131133467326e-14,2.724882343984354e-14,8,8,0.11802777438424528,0,sequential,784-1000-10
backprop,phase2_epoch_5,new_6_9,output_weight,0.34829580245372876,8,10000,1.0,1.0,1.6784994417006302e-16,5.934391687221748e-17,8,8,0.29050945641938597,0,sequential,784-1000-10
backprop,phase2_epoch_10,old_0_5,hidden_weight,0.9454110616315192,8,784000,1.0,0.9999999999999847,2.320123271186152e-14,8.202874491222216e-15,8,8,2.887419730424881,0,sequential,784-1000-10
backprop,phase2_epoch_10,old_0_5,output_weight,1.6528902100126783,8,10000,1.0,0.9999999999999993,6.907897029120493e-16,2.442310416514753e-16,8,8,9.359225511550903,0,sequential,784-1000-10
backprop,phase2_epoch_10,new_6_9,hidden_weight,0.3149242078312568,8,784000,1.0,0.9999999999999608,6.17011663126835e-14,2.181465655340873e-14,8,8,0.11578696756623685,0,sequential,784-1000-10
backprop,phase2_epoch_10,new_6_9,output_weight,0.234593334631974,8,10000,1.0,0.9999999999999999,1.7803175061665248e-16,6.294372906377364e-17,8,8,0.2169827010948211,0,sequential,784-1000-10
backprop,phase2_epoch_20,old_0_5,hidden_weight,0.8158081572147631,8,784000,1.0,0.9999999999999647,5.705111330938674e-14,2.0170614547654728e-14,8,8,2.7203785479068756,0,sequential,784-1000-10
