condition,phase,recorded_epoch,trained,old_accuracy,new_accuracy
sequential,1,1,False,23.015214385127294,0.0838750262109457
sequential,1,2,True,96.48686029274599,0.0
sequential,1,3,True,97.74550482939883,0.0
sequential,1,4,True,97.73167357075428,0.0
sequential,1,5,True,98.14661133009038,0.0
sequential,1,6,True,98.6030428653601,0.0
sequential,1,7,True,98.10511755415678,0.0
sequential,1,8,True,98.63070538264917,0.0
sequential,1,9,True,98.71369293451639,0.0
sequential,1,10,True,98.65836789993824,0.0
sequential,1,11,True,98.96265559011806,0.0
sequential,1,12,True,98.43706776162566,0.0
sequential,1,13,True,98.69986167587186,0.0
sequential,1,14,True,98.67219915858279,0.0
sequential,1,15,True,98.93499307282897,0.0
sequential,1,16,True,98.50622406639005,0.0
sequential,1,17,True,98.63070538264917,0.0
sequential,1,18,True,98.42323650298111,0.0
sequential,1,19,True,98.71369293451639,0.0
sequential,1,20,True,98.92116181418444,0.0
sequential,2,1,False,98.92116182572614,0.0
sequential,2,2,True,3.7206085753803597,97.21115537848605
sequential,2,3,True,3.3333333333333335,98.07087439714824
sequential,2,4,True,1.7704011065006915,98.59509331096666
sequential,2,5,True,1.5076071922544951,98.80478087649402
sequential,2,6,True,1.0511756569847857,98.51121828475571
sequential,2,7,True,0.9820193637621023,98.76284336338855
sequential,2,8,True,0.9266943291839558,98.78381211994129
sequential,2,9,True,0.6500691562932227,98.9096246592577
sequential,2,10,True,0.636237897648686,98.93059341581045
sequential,2,11,True,0.5670816044260027,98.9096246592577
sequential,2,12,True,0.4979253112033195,98.93059341581045
sequential,2,13,True,0.4979253112033195,98.9096246592577
sequential,2,14,True,0.45643153526970953,98.9096246592577
sequential,2,15,True,0.318118948824343,98.93059341581045
sequential,2,16,True,0.2627939142461964,99.01446844202138
sequential,2,17,True,0.29045643153526973,98.97253092891592
sequential,2,18,True,0.1798063623789765,99.03543719857413
sequential,2,19,True,0.13831258644536654,98.97253092891592
sequential,2,20,True,0.09681881051175657,99.01446844202138
interleaved,1,1,False,23.015214385127294,0.0838750262109457
interleaved,1,2,True,96.48686029274599,0.0
interleaved,1,3,True,97.74550482939883,0.0
interleaved,1,4,True,97.73167357075428,0.0
interleaved,1,5,True,98.14661133009038,0.0
interleaved,1,6,True,98.6030428653601,0.0
interleaved,1,7,True,98.10511755415678,0.0
interleaved,1,8,True,98.63070538264917,0.0
interleaved,1,9,True,98.71369293451639,0.0
interleaved,1,10,True,98.65836789993824,0.0
interleaved,1,11,True,98.96265559011806,0.0
interleaved,1,12,True,98.43706776162566,0.0
interleaved,1,13,True,98.69986167587186,0.0
interleaved,1,14,True,98.67219915858279,0.0
interleaved,1,15,True,98.93499307282897,0.0
interleaved,1,16,True,98.50622406639005,0.0
interleaved,1,17,True,98.63070538264917,0.0
interleaved,1,18,True,98.42323650298111,0.0
interleaved,1,19,True,98.71369293451639,0.0
interleaved,1,20,True,98.92116181418444,0.0
interleaved,2,1,False,98.92116182572614,0.0
interleaved,2,2,True,95.86445366528353,95.59656112392535
interleaved,2,3,True,97.38589211618257,96.09981128119102
interleaved,2,4,True,96.61134163208852,97.67246802264626
interleaved,2,5,True,97.42738589211618,97.16921786538059
interleaved,2,6,True,97.69017980636238,97.35793667435522
interleaved,2,7,True,97.70401106500691,97.56762423988258
interleaved,2,8,True,98.00829875518673,96.64499895156217
interleaved,2,9,True,97.9253112033195,97.295030404697
interleaved,2,10,True,97.4688796680498,97.295030404697
interleaved,2,11,True,97.04011065006915,96.87565527364227
interleaved,2,12,True,98.0359612724758,97.14824910882784
interleaved,2,13,True,97.82849239280775,97.44181170056616
interleaved,2,14,True,97.84232365145228,98.00796812749005
interleaved,2,15,True,97.55186721991701,97.31599916124974
interleaved,2,16,True,98.39557399723375,96.85468651708953
interleaved,2,17,True,96.83264177040111,97.63053050954079
interleaved,2,18,True,97.44121715076072,96.64499895156217
interleaved,2,19,True,98.1881051175657,97.37890543090795
interleaved,2,20,True,97.95297372060857,97.44181170056616
