rule,checkpoint,probe_split,layer,snr,num_updates,num_coordinates,finite_coordinate_fraction,cosine_mean,cosine_std,cosine_sem,cosine_valid_batches,cosine_total_batches,mean_direction_norm,zero_or_invalid_cosine_batches,condition,architecture
feedback_alignment,initial,old_0_5,hidden_weight,1.2987569010248106,8,784000,1.0,-0.0008553038924485729,0.01950754179934455,0.0068969575452982775,8,8,0.9126245379447937,0,sequential,784-1000-10
feedback_alignment,initial,old_0_5,output_weight,7.125027837432929,8,10000,1.0,0.999999999999994,7.634405201071117e-16,2.699169844001617e-16,8,8,5.275056779384613,0,sequential,784-1000-10
feedback_alignment,initial,new_6_9,hidden_weight,2.6917501170346876,8,784000,1.0,0.04869114663254334,0.008371173207628618,0.002959656670800669,8,8,1.2539520412683487,0,sequential,784-1000-10
feedback_alignment,initial,new_6_9,output_weight,11.98325337610249,8,10000,1.0,0.9999999999999969,3.729707341797719e-16,1.3186506766132096e-16,8,8,8.494585037231445,0,sequential,784-1000-10
feedback_alignment,phase1_end,old_0_5,hidden_weight,0.26909999212417995,8,784000,1.0,0.7545326079873105,0.02200293538956538,0.007779212409985575,8,8,0.00156599906114252,0,sequential,784-1000-10
feedback_alignment,phase1_end,old_0_5,output_weight,0.19549328228388752,8,10000,1.0,0.999999999865718,1.9705106222909686e-10,6.966807117110338e-11,8,8,0.03236388562754655,0,sequential,784-1000-10
feedback_alignment,phase1_end,new_6_9,hidden_weight,0.7071493350864962,8,784000,1.0,0.2116426342159105,0.06444094877594367,0.022783315932782357,8,8,0.1920810490846634,0,sequential,784-1000-10
feedback_alignment,phase1_end,new_6_9,output_weight,1.1784560941858884,8,10000,1.0,0.826964504925273,0.11904097161949304,0.04208733913558944,8,8,5.552000552415848,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_1,old_0_5,hidden_weight,0.26909999212417995,8,784000,1.0,0.7545326079873105,0.02200293538956538,0.007779212409985575,8,8,0.00156599906114252,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_1,old_0_5,output_weight,0.19549328228388752,8,10000,1.0,0.999999999865718,1.9705106222909686e-10,6.966807117110338e-11,8,8,0.03236388562754655,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_1,new_6_9,hidden_weight,0.7071493350864962,8,784000,1.0,0.2116426342159105,0.06444094877594367,0.022783315932782357,8,8,0.1920810490846634,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_1,new_6_9,output_weight,1.1784560941858884,8,10000,1.0,0.826964504925273,0.11904097161949304,0.04208733913558944,8,8,5.552000552415848,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_5,old_0_5,hidden_weight,1.1604553623933853,8,784000,1.0,0.5976281519822676,0.013319178722829342,0.004709040797374104,8,8,0.4165939539670944,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_5,old_0_5,output_weight,2.203376116122035,8,10000,1.0,0.9989325718044543,0.0011797230339844094,0.00041709507862617185,8,8,13.60014259815216,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_5,new_6_9,hidden_weight,0.3168761863126475,8,784000,1.0,0.6487816026530189,0.03800816442686954,0.013437915403346377,8,8,0.02198627992765978,0,sequential,784-1000-10
